Method name,p-value,mean BEDROC,relation,mean BEDROC for random scores,p-value description,p-value stars
Align-It Tanimoto,1.1323552527914958e-42,0.07688557817625191,<,0.09825949179969384,< 0.00001,****
Align-It Tversky (DB),6.253645483237966e-05,0.09198502624097966,<,0.09825949179969384,< 0.0001,***
Align-It Tversky (Reference),3.0747537656416916e-95,0.06407126875136672,<,0.09825949179969384,< 0.00001,****
FP: CDK ECFP0,2.638044763631757e-33,0.10868567636761488,>,0.09825949179969384,< 0.00001,****
FP: CDK ECFP2,4.186659276337797e-28,0.10867170109409191,>,0.09825949179969384,< 0.00001,****
FP: CDK ECFP4,9.23528703889187e-21,0.10638091619256018,>,0.09825949179969384,< 0.00001,****
FP: CDK Estate,7.204949895578567e-40,0.10993232144420131,>,0.09825949179969384,< 0.00001,****
FP: CDK FCFP0,7.74968634341722e-07,0.1024923544857768,>,0.09825949179969384,< 0.00001,****
FP: CDK FCFP2,3.31399955623952e-30,0.10789281903719913,>,0.09825949179969384,< 0.00001,****
FP: CDK FCFP4,6.301541564515646e-26,0.10711418643326039,>,0.09825949179969384,< 0.00001,****
FP: CDK MACCS,1.935661145579418e-53,0.11307267352297592,>,0.09825949179969384,< 0.00001,****
FP: CDK PubChem,1.7394945381769323e-94,0.11341944398249454,>,0.09825949179969384,< 0.00001,****
FP: CDK Standard,1.696517398828786e-55,0.1110670433260394,>,0.09825949179969384,< 0.00001,****
FP: Indigo,1.324149088965145e-86,0.11434960131291026,>,0.09825949179969384,< 0.00001,****
FP: MAP4 (1024 bits),3.665049291898341e-36,0.10674865536105033,>,0.09825949179969384,< 0.00001,****
FP: MAP4 (2048 bits),1.664159689546625e-30,0.10707533911111111,>,0.09825949179969384,< 0.00001,****
FP: MAP4 (256 bits),1.1846860338588713e-25,0.10619391969365427,>,0.09825949179969384,< 0.00001,****
FP: MAP4 (512 bits),1.863723734327122e-34,0.1072879601750547,>,0.09825949179969384,< 0.00001,****
FP: OpenBabel FP2,3.9802964184531624e-60,0.11155956214442012,>,0.09825949179969384,< 0.00001,****
FP: OpenBabel FP3,1.8763100505687516e-109,0.11664946411378557,>,0.09825949179969384,< 0.00001,****
FP: OpenBabel FP4,6.210479617381161e-59,0.11313774945295403,>,0.09825949179969384,< 0.00001,****
FP: RDKit,0.3132347359626178,0.09909543544857767,>,0.09825949179969384,≥ 0.05,
