Method name,p-value,mean EF_1%,relation,mean EF_1% for random scores,p-value description,p-value stars
Align-It Tanimoto,0.0,2.537201973321671,>,1.0016686927618632,< 0.00001,****
Align-It Tversky (DB),0.0,2.8679403096435605,>,1.0016686927618632,< 0.00001,****
Align-It Tversky (Reference),5.416066533915653e-213,2.0486897076317514,>,1.0016686927618632,< 0.00001,****
FP: CDK ECFP0,7.161429822708226e-188,1.968104645514223,>,1.0016686927618632,< 0.00001,****
FP: CDK ECFP2,1.8468073927284079e-180,2.165490266520788,>,1.0016686927618632,< 0.00001,****
FP: CDK ECFP4,1.867085901211301e-179,2.0725114277899346,>,1.0016686927618632,< 0.00001,****
FP: CDK Estate,1.4139018131811532e-173,2.028258433260394,>,1.0016686927618632,< 0.00001,****
FP: CDK FCFP0,1.232954167129849e-72,1.3954404516411378,>,1.0016686927618632,< 0.00001,****
FP: CDK FCFP2,2.7536738269939984e-179,2.1091954503282273,>,1.0016686927618632,< 0.00001,****
FP: CDK FCFP4,7.413921143516914e-182,2.1039682323851205,>,1.0016686927618632,< 0.00001,****
FP: CDK MACCS,1.3060196230858237e-205,2.1339534711159738,>,1.0016686927618632,< 0.00001,****
FP: CDK PubChem,1.248620227752656e-193,2.094470341137855,>,1.0016686927618632,< 0.00001,****
FP: CDK Standard,1.1255367212833157e-180,2.0566135527352296,>,1.0016686927618632,< 0.00001,****
FP: Indigo,4.918153160038571e-202,2.084187033479212,>,1.0016686927618632,< 0.00001,****
FP: MAP4 (1024 bits),3.0342504162752983e-164,1.8871202150984683,>,1.0016686927618632,< 0.00001,****
FP: MAP4 (2048 bits),8.625012642926927e-176,2.0356542033333334,>,1.0016686927618632,< 0.00001,****
FP: MAP4 (256 bits),3.206439026181395e-125,1.536709782275711,>,1.0016686927618632,< 0.00001,****
FP: MAP4 (512 bits),8.102330602082601e-152,1.7404148984682712,>,1.0016686927618632,< 0.00001,****
FP: OpenBabel FP2,4.3157459027321676e-185,2.0726167969365425,>,1.0016686927618632,< 0.00001,****
FP: OpenBabel FP3,2.4235328413748945e-125,1.6417782962800875,>,1.0016686927618632,< 0.00001,****
FP: OpenBabel FP4,2.074657744767477e-196,2.145779359956236,>,1.0016686927618632,< 0.00001,****
FP: RDKit,1.0621190887709258e-167,1.8827495628008752,>,1.0016686927618632,< 0.00001,****
FP: RDKit AtomPair,1.381239904256791e-189,1.9972093194748357,>,1.0016686927618632,< 0.00001,****
FP: RDKit Avalon,3.191400650556623e-175,2.0144819295404814,>,1.0016686927618632,< 0.00001,****
