F2,random_scores,random_512_10,cdk_ECFP0,cdk_ECFP2,cdk_ECFP4,cdk_FCFP0,cdk_FCFP2,cdk_FCFP4,cdk_estate,cdk_maccs,cdk_pubchem,cdk_standard,indigo,map4_fingerprint_1024,map4_fingerprint_2048,map4_fingerprint_256,map4_fingerprint_512,openbabel_fp2,openbabel_fp3,openbabel_fp4,rdkit_atompair,rdkit_avalon,rdkit_fratmorgan,rdkit_layered,rdkit_morgan,rdkit_rdkit,rdkit_torsion
AKTIP,0.501523399,0.4976762242152466,0.49114943495451635,0.5006586162024342,0.4933931549679692,0.48002991543882123,0.49641709609224854,0.5008381825752722,0.4838880870563741,0.5071137527226137,0.4924136707238949,0.48346983792440745,0.5072007982062781,0.4629050108904548,0.46890820742400524,0.45225055732863545,0.4574423517648943,0.5033000787956439,0.5267913452831519,0.5158118514067905,0.4753980812889173,0.4736495579756566,0.5074349390871237,0.4680907750768738,0.4847411473267136,0.4333507270980141,0.4920428078155029
BCL2,0.5051346216216216,0.5114662252252252,0.49989606435006434,0.5022913423423423,0.4992292573938224,0.4812190077220077,0.48113396010296006,0.48673888545688543,0.4849343075933076,0.5080232316447877,0.5041637142857143,0.5050309034749034,0.5109515109446588,0.49425191119691114,0.4923695780406291,0.49087035520978123,0.49177338480952376,0.50086412998713,0.5344097168597168,0.5105765842985843,0.4839255714285714,0.4957701248391248,0.49238356885456885,0.4749688545688545,0.4880256872586872,0.47441272715572713,0.49227085971685963
BCL_XL,0.4997282359550562,0.5086066966292135,0.47670295187961476,0.4650496982343499,0.4612901958266452,0.4759159871589085,0.46456091974317815,0.4671392584269663,0.46275008029373993,0.48822847351524873,0.47830205939004816,0.46936694542536117,0.4820743820224719,0.4516737191011236,0.45517119642857135,0.4396549791332263,0.44389033707865166,0.49358808346709465,0.5290018073836276,0.47968561958266454,0.4580269614767255,0.4774296661316212,0.47243528728410916,0.4613471075088283,0.45569843977207064,0.4453041669341894,0.48636563399357946
BCL_XL_SS,0.4998734341463414,0.49494732195121954,0.5482358452961672,0.5152701058815331,0.5136902550522648,0.4475647045296167,0.4911334941045296,0.4784158885017421,0.5506791651986063,0.5955848459651568,0.5037590118327526,0.5404454125435539,0.5633901811567944,0.5377183212543554,0.52563735237781,0.547899768641115,0.54539267456446,0.5473377296585366,0.5034704696864111,0.5387126808362369,0.5252490731289199,0.5256575017421603,0.5077325240139372,0.5349301351637631,0.5203703275121951,0.47679461393728223,0.4574261993031358
CKIT,0.4943717261904762,0.5116270952380952,0.5168425425170068,0.5264143945578231,0.5228506649591836,0.5033877874149659,0.49557740646258497,0.5055994778911564,0.5044415425170068,0.5128518843537415,0.518671369047619,0.5169170663333332,0.5050122601836734,0.5260652074693878,0.5248870833333333,0.5159538265306123,0.519957882659864,0.5073790935238095,0.5505526003333333,0.5208488503401361,0.5176242993197279,0.5153754642789116,0.5175123843537415,0.4901914115646258,0.5065560442244899,0.5114612738163266,0.5250342891088435
ENE_A9,0.4999032745098039,0.4933797450980392,0.5600090574229691,0.5293794859943978,0.5303476400728291,0.4253314425770308,0.4970793822997199,0.48910423949579834,0.5667728473753502,0.5857578193277311,0.5213345056022409,0.5452425966386555,0.5671682745266107,0.5448404355742297,0.5350140542857142,0.556101992977591,0.552999218487395,0.5635388417366947,0.512265593837535,0.5281241904761905,0.5240528445378151,0.5324738612913166,0.5186006204481793,0.5385899341736695,0.5382546709215685,0.48066960789635854,0.46975300420168065
EWSR1,0.4998343630136986,0.499032353,0.5146744398923679,0.5169105371604698,0.5098830151976517,0.4877070993150685,0.499949747516634,0.5075230978786693,0.5057378096868884,0.5119664955968688,0.5025615332681018,0.49538287964774946,0.5125007367906067,0.47071840900195694,0.482613173504696,0.45492248336594904,0.46112578033268103,0.5058222275322896,0.5277201037338551,0.5082874075185909,0.4921239799412916,0.47521402592954987,0.5216364456947162,0.4607351873776908,0.5035776535890412,0.42000095939334636,0.49893715757142854
FGFR,0.50064325,0.5015066730769231,0.4668385233516483,0.47270309065934063,0.46878258379120874,0.4813965082417582,0.4734808626373626,0.47928182554945054,0.46143142307692303,0.4604179986263736,0.47894709065934066,0.4566152225274725,0.46719209752747254,0.44267743956043953,0.44205134812760055,0.4300750494505494,0.4329733337912088,0.4657747596153846,0.5218627568681319,0.48124998214285714,0.4601678118131868,0.46268562225274723,0.47529948076923073,0.45787325549450547,0.4604069848901099,0.45066432556043956,0.4978468708791209
Glutamine_RS,0.5002225714285714,0.4985557999999998,0.4423735571428571,0.41400055306122446,0.42379455102040814,0.3683694959183673,0.39425073469387756,0.3931428489795918,0.440134693877551,0.432955506122449,0.44507474081632653,0.4510365265306122,0.47671645102040816,0.5102661408163265,0.48565269183673465,0.5387888918367347,0.5289014836734693,0.4649586775510204,0.42321388571428564,0.4446638632653061,0.4177939122448979,0.4273918081632653,0.3834951632653061,0.4870977040816326,0.42084578163265307,0.4231397,0.43745818775510203
HBV,0.5035001851851851,0.5217999444444444,0.49499849999999995,0.48844809789417987,0.4959787566137566,0.5493180158730159,0.5217700502539683,0.5172378703862434,0.49321419312169307,0.5145259126984126,0.535505992063492,0.5224696455026455,0.5174098465608465,0.49756606349206345,0.5119654444391534,0.4901926164021164,0.4969162301587301,0.5255487724867726,0.5759117328042328,0.5412129682433863,0.5330269232857143,0.5169432671957672,0.5023038941798942,0.5099726640211639,0.4875038650846561,0.5447984444497355,0.5568198835978836
