F3,Mean,CI_Error
random_512_10,0.5030163495455772,0.0008340055474824748
random_scores,0.4997574940097183,0.0002968018201014999
cdk_ECFP0,0.4976640237367493,0.006179937272722924
cdk_ECFP2,0.4929709789686644,0.005588590963863049
cdk_ECFP4,0.4908307818285302,0.005161759607879568
cdk_FCFP0,0.47317218483116247,0.005792078925285105
cdk_FCFP2,0.4842791953788494,0.004647521739252036
cdk_FCFP4,0.4839926800020688,0.004907253566210967
cdk_estate,0.49453809620187894,0.006162962612726308
cdk_maccs,0.5031132020974903,0.00898851793605382
cdk_pubchem,0.49814907739472064,0.005280999930105557
cdk_standard,0.4888505093255151,0.006463543895955548
indigo,0.5026251892516778,0.006345973134677219
map4_fingerprint_1024,0.48619025023566564,0.0059301010804079235
map4_fingerprint_2048,0.4869169281765179,0.005184874779851578
map4_fingerprint_256,0.4829416423380865,0.007052365685233375
map4_fingerprint_512,0.48494098614029124,0.0066190050565673175
openbabel_fp2,0.4975683952117087,0.006104922327534179
openbabel_fp3,0.5183005530931669,0.006565861642773729
openbabel_fp4,0.5024316900623449,0.006158986467099614
rdkit_atompair,0.48588653896302936,0.006065987309572252
rdkit_avalon,0.4857474865266693,0.0060935829004544195
rdkit_fratmorgan,0.49315375107946324,0.006860724011260644
rdkit_layered,0.4866364393725739,0.005645868866843762
rdkit_morgan,0.4913289911104116,0.0052337112150419585
rdkit_rdkit,0.4607080406059824,0.006007006947881921
rdkit_torsion,0.4963340516031478,0.005512212841035202
