"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-15.2049,-11.0419,-11.147,-12.0771,-15.2049,-11.0419,-15.7111,-10.9925,-15.2049,-11.147
0,-22.8054,-19.6189,-11.6084,-9.41032,-22.8054,-19.6189,-3.89004,-1.29811,-22.8054,-3.89004
0,-19.706,-14.477,-7.87113,-3.63362,-19.706,-14.477,-15.6833,-8.74547,-19.706,-7.87113
0,-20.9896,-16.7328,-12.565,-10.108,-20.9896,-16.7328,-12.6588,-6.96652,-20.9896,-12.565
0,-16.3895,-16.7715,-0.0480013,-1.97221,-16.3895,-16.7715,-20.7459,-12.9158,-16.3895,-0.0480013
0,-16.389,-14.2884,-1.35749,-3.18837,-16.389,-14.2884,-18.3782,-11.8213,-16.389,-1.35749
0,-8.40889,-10.9565,-9.87363,-7.36231,-8.40889,-10.9565,-18.7476,-12.6457,-8.40889,-9.87363
0,-20.0111,-19.2504,-8.70025,-6.97839,-20.0111,-19.2504,-15.7303,-11.284,-20.0111,-8.70025
0,-7.56313,-4.56284,2.58357,0.650915,-7.56313,-4.56284,-10.3118,-1.94001,-7.56313,2.58357
0,-19.2501,-14.6677,-13.0829,-10.4107,-19.2501,-14.6677,-14.1909,-8.374,-19.2501,-13.0829
0,-9.12868,-10.7005,-1.04741,0.776453,-9.12868,-10.7005,-15.2963,-10.1399,-9.12868,-1.04741
0,-14.7376,-16.4097,-11.5219,-17.008,-14.7376,-16.4097,-20.616,-14.8528,-14.7376,-11.5219
0,-20.0824,-23.0671,-4.05865,-7.5459,-20.0824,-23.0671,-15.0405,-9.97395,-20.0824,-4.05865
0,-11.3613,-15.3981,-3.53339,-6.42858,-11.3613,-15.3981,-16.7419,-11.9589,-11.3613,-3.53339
0,-9.21722,-9.70354,-9.61687,-8.25727,-9.21722,-9.70354,-13.8842,-8.40654,-9.21722,-9.61687
0,-11.9004,-8.99116,-12.9185,-9.35098,-11.9004,-8.99116,-20.9199,-14.3505,-11.9004,-12.9185
0,-22.2975,-19.3233,-8.98384,-6.7968,-22.2975,-19.3233,-16.8697,-11.6498,-22.2975,-8.98384
0,-3.91405,-5.90128,-9.95495,-6.75647,-3.91405,-5.90128,-18.651,-12.3195,-3.91405,-9.95495
0,-21.9315,-18.099,-16.2896,-10.7244,-21.9315,-18.099,-19.0728,-12.1425,-21.9315,-16.2896
0,-16.6894,-11.049,-12.6122,-8.64222,-16.6894,-11.049,-17.0425,-10.5726,-16.6894,-12.6122
0,-15.2267,-13.2557,-0.292943,-2.27872,-15.2267,-13.2557,-11.9299,-7.87658,-15.2267,-0.292943
0,-12.2096,-11.8695,-16.1959,-15.1837,-12.2096,-11.8695,-20.275,-14.7029,-12.2096,-16.1959
0,-14.999,-13.2546,-1.71435,-2.49468,-14.999,-13.2546,-15.3001,-10.365,-14.999,-1.71435
0,-13.959,-16.7581,-4.66463,-6.71819,-13.959,-16.7581,-13.7248,-7.77561,-13.959,-4.66463
0,-23.0885,-22.8286,-16.5725,-13.2552,-23.0885,-22.8286,-16.7751,-12.2863,-23.0885,-16.5725
0,-16.3206,-16.2213,-7.77646,-5.48772,-16.3206,-16.2213,-18.1085,-12.6695,-16.3206,-7.77646
0,-18.8829,-17.0884,0.477808,-2.40236,-18.8829,-17.0884,-13.1814,-8.84594,-18.8829,0.477808
0,-15.5636,-18.5317,-5.79986,-4.37075,-15.5636,-18.5317,-16.7852,-11.3325,-15.5636,-5.79986
0,-12.1532,-11.9973,-6.82898,-4.28215,-12.1532,-11.9973,-9.25731,-2.88528,-12.1532,-6.82898
0,-14.1135,-19.7805,-1.53182,-5.65783,-14.1135,-19.7805,-20.0825,-16.5329,-14.1135,-1.53182
0,-19.4892,-13.8037,-17.3922,-10.1956,-19.4892,-13.8037,-16.5348,-3.59967,-19.4892,-16.5348
0,-15.266,-15.4324,-9.28807,-10.154,-15.266,-15.4324,-12.1184,-8.32971,-15.266,-9.28807
0,-15.4723,-18.0127,8.17243,3.21209,-15.4723,-18.0127,-12.4839,-4.40683,-15.4723,8.17243
0,-11.2292,-15.5865,-6.49486,-8.24116,-11.2292,-15.5865,-11.4982,-7.05731,-11.2292,-6.49486
0,-11.9864,-8.84154,-7.63673,-5.91028,-11.9864,-8.84154,-10.916,-4.49248,-11.9864,-7.63673
0,-0.627141,-4.41947,-1.08242,-2.2249,-0.627141,-4.41947,-9.83788,-3.8446,-0.627141,-1.08242
0,-17.3857,-17.5758,-5.93781,-8.14883,-17.3857,-17.5758,-15.0873,-8.58159,-17.3857,-5.93781
0,-14.6606,-12.9692,-0.681926,-2.66012,-14.6606,-12.9692,-16.9067,-11.4096,-14.6606,-0.681926
