"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-34.3571,-24.6848,-23.1388,-13.4144,25.1335,25.499,-5.15841,-8.49035,25.1335,-5.15841
0,-36.61,-23.1819,-22.4671,-12.265,-30.5793,-26.2032,-13.0186,-11.9337,-30.5793,-13.0186
0,-27.3572,-15.4271,-12.8021,-4.31632,-14.6344,-11.8496,-5.80391,-6.94602,-14.6344,-5.80391
0,-35.2707,-24.407,-21.5254,-18.2113,-24.3339,-21.8113,-17.2514,-19.8788,-24.3339,-17.2514
0,-29.7134,-21.2568,-15.0552,-6.40247,-16.7499,-11.9876,-6.97216,-9.80264,-16.7499,-6.97216
0,-31.7248,-22.8223,-21.3189,-13.4735,-16.9032,-14.9432,-14.2364,-11.1321,-16.9032,-14.2364
0,-34.503,-22.1088,-11.2446,-11.8923,-27.0075,-24.3867,-10.2011,-11.7386,-27.0075,-10.2011
0,-30.3073,-24.208,-17.0831,-9.95441,-23.5858,-20.3294,-2.23087,-4.80004,-23.5858,-2.23087
0,-28.4529,-11.0568,-15.4565,-9.89611,-7.41642,-6.82738,-8.98737,-9.1536,-7.41642,-8.98737
0,-34.2389,-25.8548,-20.6201,-15.0703,-24.1141,-20.0975,-5.56815,-8.15252,-24.1141,-5.56815
0,-30.3881,-25.1212,-15.9833,-10.0148,-19.9227,-22.4861,-6.69059,-10.5869,-19.9227,-6.69059
0,-35.4729,-23.2191,-21.6119,-14.356,-23.6653,-22.5215,-17.5836,-16.5676,-23.6653,-17.5836
0,-38.3341,-25.3958,-22.571,-16.1216,-18.8707,-18.8553,-5.67408,-9.53285,-18.8707,-5.67408
0,-42.9025,-30.6901,-11.2495,-5.37911,-27.7174,-26.6437,-15.2219,-14.8817,-27.7174,-11.2495
0,-40.0184,-29.5578,-26.6907,-20.627,-14.3128,-12.0306,-11.1376,-14.9698,-14.3128,-11.1376
0,-28.1724,-16.4629,-22.6061,-18.6002,-17.5061,-17.6431,-12.3152,-14.456,-17.5061,-12.3152
0,-35.5074,-25.2804,-23.8838,-17.5123,-23.1117,-21.3948,-15.8363,-18.6182,-23.1117,-15.8363
