"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","docksolv_min","dock_min"
0,-19.4862,-20.3309,-10.9732,-11.1931,-19.4862,-10.9732
0,-21.0643,-20.8701,-14.1532,-14.0185,-21.0643,-14.1532
0,-14.1031,-12.6978,-7.53372,-7.02458,-14.1031,-7.53372
0,-23.6124,-23.6478,-11.3976,-11.4003,-23.6124,-11.3976
0,-19.6679,-19.2039,-6.69206,-7.47324,-19.6679,-6.69206
0,-25.8733,-25.8945,-15.0106,-13.6698,-25.8733,-15.0106
0,-23.3797,-22.0093,-14.9623,-13.6315,-23.3797,-14.9623
0,-19.0984,-17.8526,-10.1438,-9.93207,-19.0984,-10.1438
0,-4.96054,-4.92331,-2.28124,1.24845,-4.96054,-2.28124
0,-18.7185,-18.6469,-12.8064,-12.8225,-18.7185,-12.8064
0,-13.1484,-14.9124,-7.95657,-5.93718,-13.1484,-7.95657
0,-29.8886,-30.3379,-17.9903,-18.1661,-29.8886,-17.9903
0,-29.478,-30.3053,-18.331,-19.2678,-29.478,-18.331
0,-27.2042,-28.5507,-11.9992,-11.8017,-27.2042,-11.9992
0,-20.6356,-21.4322,-8.66482,-8.34351,-20.6356,-8.66482
0,-16.5176,-15.3011,-16.6143,-15.0051,-16.5176,-16.6143
0,-11.8383,-12.0492,-13.0698,-13.7274,-11.8383,-13.0698
0,-21.3317,-20.8098,-16.7787,-16.6626,-21.3317,-16.7787
0,-25.6187,-24.8874,-14.8605,-12.0158,-25.6187,-14.8605
0,-14.9856,-13.9354,-8.44484,-7.62859,-14.9856,-8.44484
0,-20.3042,-20.4641,-5.85267,-6.35516,-20.3042,-5.85267
0,-19.8465,-19.8088,-12.3848,-12.2022,-19.8465,-12.3848
0,-12.762,-12.1065,-9.4816,-9.30083,-12.762,-9.4816
0,-19.1174,-19.6078,-10.856,-11.3528,-19.1174,-10.856
0,-22.2258,-21.923,-14.4649,-14.1712,-22.2258,-14.4649
0,-6.25227,-5.83087,-5.05017,-4.91074,-6.25227,-5.05017
0,-22.1242,-22.3162,5.44358,3.68965,-22.1242,5.44358
0,-22.8763,-23.1584,-11.989,-12.385,-22.8763,-11.989
0,-13.8656,-14.1426,-13.23,-12.0753,-13.8656,-13.23
0,-23.4134,-24.8822,-15.9837,-16.2373,-23.4134,-15.9837
0,-24.1011,-18.5107,-16.1386,-8.71244,-24.1011,-16.1386
0,-18.2205,-17.6955,-10.6296,-10.5254,-18.2205,-10.6296
0,-14.6834,-16.5983,-11.6631,-13.0739,-14.6834,-11.6631
0,-14.5679,-14.6751,-13.6752,-13.6505,-14.5679,-13.6752
0,-19.1399,-17.7968,-14.0731,-12.549,-19.1399,-14.0731
0,-16.3558,-15.3183,-13.5648,-12.8621,-16.3558,-13.5648
0,-25.6438,-20.994,-10.4098,-9.30833,-25.6438,-10.4098
0,0.383226,-4.48204,-8.22849,-8.67287,0.383226,-8.22849
0,-13.1855,-11.7121,-10.7238,-10.6433,-13.1855,-10.7238
0,-17.1123,-16.264,-6.56666,-6.10092,-17.1123,-6.56666
0,-0.906241,-2.54874,-2.89337,-2.79248,-0.906241,-2.89337
0,-28.9788,-19.1108,-14.3377,-5.03403,-28.9788,-14.3377
0,-17.0491,-15.9868,-12.7609,-11.2053,-17.0491,-12.7609
0,-18.9615,-18.324,-16.575,-16.3088,-18.9615,-16.575
0,-17.1445,-17.2857,-7.84709,-8.03467,-17.1445,-7.84709
