"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
1,-23.6726,-23.3598,-14.836,-15.3053,-17.3501,-17.0344,-11.27,-11.3606,-17.3501,-11.27
0,-26.283,-26.177,-16.7855,-16.6406,-14.3972,-14.2008,-7.27906,-6.94726,-14.3972,-7.27906
0,-19.054,-17.633,-8.06154,-6.60755,-13.2249,-11.5547,-7.159,-5.68185,-13.2249,-7.159
0,-42.2839,-42.249,-28.2712,-28.2414,-23.7812,-23.7301,-16.3169,-16.2658,-23.7812,-16.3169
0,-24.471,-22.9453,-17.5547,-16.7227,-19.6824,-17.8667,-11.2322,-8.99744,-19.6824,-11.2322
0,-14.8314,-13.8084,-13.9437,-12.505,-20.201,-22.1131,-12.8563,-10.7413,-14.8314,-12.8563
0,3.55293,4.85081,1.29797,2.30107,-28.0886,-27.1958,-15.6706,-14.3443,3.55293,1.29797
0,-26.0986,-29.9407,-11.7803,-12.471,-15.3833,-18.9964,-11.929,-12.0243,-15.3833,-11.7803
0,-16.369,-17.8812,-6.35607,-8.09915,-18.2048,-17.0567,-4.04808,-1.24714,-16.369,-4.04808
0,-26.0939,-27.5887,-4.84068,-5.73453,-16.8863,-17.8485,-11.4103,-11.2887,-16.8863,-4.84068
0,-15.9284,-16.497,-7.6179,-8.1001,-12.4343,-15.0986,-4.65588,-6.14829,-12.4343,-4.65588
0,-30.3373,-30.4104,-22.529,-22.431,-18.358,-18.0317,-16.5007,-16.442,-18.358,-16.5007
0,-29.5139,-30.0245,-16.9964,-17.0796,-13.6344,-13.4889,-11.3692,-11.2446,-13.6344,-11.3692
0,-27.8328,-27.3139,-20.091,-19.4825,-23.7174,-23.7325,-3.6134,-3.06114,-23.7174,-3.6134
1,-22.1632,-21.9742,-18.9537,-18.8745,-18.2872,-17.9335,-10.1151,-9.94778,-18.2872,-10.1151
0,-17.5733,-20.3826,-17.7753,-17.0389,-26.1799,-24.6511,-14.5788,-12.653,-17.5733,-14.5788
0,-25.0209,-28.2091,-12.2159,-12.3881,-18.55,-18.9715,-10.3424,-9.90018,-18.55,-10.3424
0,-22.246,-21.7178,-15.906,-16.1393,-20.8027,-20.4778,-14.1314,-13.5881,-20.8027,-14.1314
0,-28.8998,-26.9207,-14.8607,-14.5505,-25.7232,-23.1066,-16.06,-14.0102,-25.7232,-14.8607
0,-22.616,-21.5433,-14.3015,-13.0319,-13.0997,-11.7945,-9.6243,-8.37001,-13.0997,-9.6243
0,-23.4488,-25.0954,-14.3011,-16.0352,-14.0238,-15.08,-9.43365,-9.70068,-14.0238,-9.43365
0,-27.7628,-27.7683,-20.8823,-20.8421,-20.1538,-20.0292,-12.9974,-12.9019,-20.1538,-12.9974
0,-17.4577,-17.8384,-8.46898,-7.66613,-17.793,-19.3254,-9.01964,-8.18915,-17.4577,-8.46898
0,-17.1646,-18.1063,-12.5949,-13.2252,-13.0279,-13.3197,-7.30569,-7.25492,-13.0279,-7.30569
0,-11.3603,-15.7451,-3.18174,-7.29091,-19.8095,-19.4927,-12.4728,-12.4111,-11.3603,-3.18174
0,-22.0953,-22.4393,-10.6567,-10.7935,-20.8059,-20.5318,-10.1264,-10.3051,-20.8059,-10.1264
0,-18.2908,-18.184,-8.14969,-9.49654,-17.6604,-17.645,-11.9445,-12.9709,-17.6604,-8.14969
0,-26.216,-28.0621,-12.6869,-12.446,-16.3999,-16.6085,-16.7733,-16.6051,-16.3999,-12.6869
0,-22.8144,-22.1185,-7.95307,-7.56577,-20.4207,-19.5073,-13.4582,-12.3477,-20.4207,-7.95307
0,-15.0775,-18.6397,-5.11222,-9.46363,-17.8599,-18.8103,-7.99004,-11.9162,-15.0775,-5.11222
0,-28.1489,-26.5063,-7.61437,-9.67616,-26.0841,-21.0857,-14.7218,-11.327,-26.0841,-7.61437
0,-14.7094,-14.3254,-14.3834,-16.6963,-18.4542,-21.039,-9.06937,-8.37439,-14.7094,-9.06937
0,-9.11648,-14.7524,-6.66462,-7.70726,-11.7523,-11.7108,-6.43859,-4.48142,-9.11648,-6.43859
0,-24.6357,-24.7586,-5.4534,-7.3291,-22.337,-22.2324,-8.33598,-8.84625,-22.337,-5.4534
0,-28.5326,-27.0153,-6.05502,-4.8627,-16.3414,-14.9858,-7.00456,-5.97821,-16.3414,-6.05502
0,-27.3704,-27.0825,-9.51125,-8.52214,-17.3382,-17.6327,-14.6451,-13.645,-17.3382,-9.51125
0,-33.6181,-31.5958,-8.45233,-10.4462,-21.0194,-20.7265,-12.4922,-10.6249,-21.0194,-8.45233
0,-17.2937,-22.2791,-0.123971,-1.11602,-18.2836,-21.3242,-10.6486,-10.6,-17.2937,-0.123971
0,-26.7548,-27.3406,-12.8988,-11.7967,-12.7936,-12.2837,-17.0046,-16.5955,-12.7936,-12.8988
0,-12.1819,-15.604,-7.63657,-9.85732,-19.1642,-16.6524,-3.28115,-3.28438,-12.1819,-3.28115
0,-13.4643,-13.3541,-11.8074,-11.9996,-12.9968,-12.5474,-6.46247,-6.49167,-12.9968,-6.46247
0,-28.67,-23.7874,-14.6137,-5.42031,-27.8683,-15.4052,-14.8655,-4.96432,-27.8683,-14.6137
0,-24.7706,-22.0335,-20.4437,-18.923,-21.5593,-19.1329,-11.7367,-10.0052,-21.5593,-11.7367
0,-19.7258,-19.1048,-12.5002,-12.3091,-16.6782,-16.5741,-11.4809,-11.0637,-16.6782,-11.4809
