filename,score_column,AUC,BEDROC,EF_1%,EF_5%,EF_10%,n_compounds,n_hits
zpt-jak2,P1_dock_SCORE,0.591887,0.095851,2.330845,2.104477,1.578358,18733,171
zpt-jak2,P1_dock_SCORE.INTER,0.611626,0.152960,5.827112,3.273631,2.396765,18733,171
zpt-jak2,dock_min,0.591887,0.095851,2.330845,2.104477,1.578358,18733,171
preq1-jak2,P1_dock_SCORE,0.567781,0.100377,3.010819,1.926924,1.746988,24490,166
preq1-jak2,P1_dock_SCORE.INTER,0.590001,0.119837,3.612983,3.010819,1.807229,24490,166
preq1-jak2,dock_min,0.567781,0.100377,3.010819,1.926924,1.746988,24490,166
zpt-protonix,P1_dock_SCORE,0.596850,0.118719,1.748134,2.455223,2.221392,18733,171
zpt-protonix,P1_dock_SCORE.INTER,0.602287,0.142229,3.496267,2.805969,2.338308,18733,171
zpt-protonix,P2_dock_SCORE,0.545982,0.061150,0.582711,1.052238,1.110696,18733,171
zpt-protonix,P2_dock_SCORE.INTER,0.593656,0.090266,2.913556,1.519900,1.461442,18733,171
zpt-protonix,dock_min,0.586708,0.097433,0.582711,2.221392,1.987561,18733,171
PreQ1-protonix,P1_dock_SCORE,0.537238,0.050160,0.000000,0.963462,1.084337,24490,166
PreQ1-protonix,P1_dock_SCORE.INTER,0.588579,0.065230,0.602164,1.204328,1.506024,24490,166
PreQ1-protonix,P2_dock_SCORE,0.508778,0.058705,0.602164,1.083895,1.204819,24490,166
PreQ1-protonix,P2_dock_SCORE.INTER,0.529720,0.070706,1.204328,1.324760,1.445783,24490,166
PreQ1-protonix,dock_min,0.505800,0.056022,0.602164,1.204328,1.204819,24490,166
HBV,P1_dock_SCORE,0.479184,0.052736,0.000000,1.110658,0.925926,24490,54
HBV,P1_dock_SCORE.INTER,0.486994,0.049746,1.851096,0.370219,1.111111,24490,54
HBV,P2_dock_SCORE,0.532277,0.086478,1.851096,1.851096,1.481481,24490,54
HBV,P2_dock_SCORE.INTER,0.534484,0.102537,3.702192,1.851096,2.222222,24490,54
HBV,dock_min,0.479963,0.055198,1.851096,1.110658,0.925926,24490,54
hbv-jak2,P1_dock_SCORE,0.490396,0.035678,1.851096,0.370219,0.740741,24490,54
hbv-jak2,P1_dock_SCORE.INTER,0.488889,0.063700,1.851096,1.110658,1.296296,24490,54
hbv-jak2,dock_min,0.490396,0.035678,1.851096,0.370219,0.740741,24490,54
